Key,Spanish,French,English
Menu.Welcome,Bienvenido,Accueillir,Welcome
,,,
,,,
,,,
,,,
,,,
,,,
Login.Button.VincularDispositivo,Vincular licencia a este dispositivo,Lier la licence à cet appareil,Link license to this device
,,,
Login.Panel.AppCodeOlvidada,Escribe un correo  a infomarketing@fluidra.com solicitando la clave. Adjunta el nombre de tu empresa y el CIF para que podamos validar tu petición.,Envoyez un courriel à infomarketing@fluidra.com pour demander le mot de passe. Veuillez indiquer le nom de votre entreprise et votre numéro d'identification fiscale (CIF) afin que nous puissions valider votre demande.,Send an email to infomarketing@fluidra.com requesting the password. Include your company name and tax ID number (CIF) so we can validate your request.
,,,
,,,
Login.Panel.CreacionUsuario.Instrucciones,"En caso de no poder crear un usuario, contacte con infomarketing@fluidra.com","Si vous ne parvenez pas à créer un compte utilisateur, veuillez contacter infomarketing@fluidra.com","If you are unable to create a user account, please contact infomarketing@fluidra.com"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Login.SetPassword.Menu.Error,Error al actualizar la contraseña,Erreur lors de la mise à jour du mot de passe,Error updating password
,,,
,,,
,,,
,,,
,,,
,,,
Login.Panel.UsuarioCreado,"Su usuario ha sido creado, en cuanto vincule la licencia a su dispositivo,  ya podrá acceder a la aplicación.

En caso de tener algún problema con el acceso, contacte con infomarketing@fluidra.com","Votre compte utilisateur a été créé. Une fois la licence associée à votre appareil, vous pourrez accéder à l'application.

En cas de problème d'accès à l'application, veuillez contacter infomarketing@fluidra.com.","Your user account has been created. Once you link the license to your device, you will be able to access the application.

If you have any problems accessing the application, please contact infomarketing@fluidra.com"
Login.Panel.CambiarDispositivo.Title,Cambiar de dispositivo,Dispositif de commutation,Switch device
Login.Panel.CambiarDispositivo.Texto,Migrar la licencia liberará este usuario del anterior dispositivo y lo vinculará al actual. La migración debe realizarse solo en el caso que quiera vincular esta licencia de uso a otro dispositivo.,La migration de la licence libérera cet utilisateur de l'appareil précédent et l'associera à l'appareil actuel. La migration ne doit être effectuée que si vous souhaitez associer cette licence à un autre appareil.,Migrating the license will release this user from the previous device and link it to the current one. Migration should only be performed if you want to link this license to another device.
Login.Panel.CambiarDispositivo.Cambiado,La aplicación se ha vinculado a este dispositivo correctamente,L'application a été associée avec succès à cet appareil.,The app has been successfully linked to this device
Login.Input.ClaveActual,clave actual...,clé actuelle...,current key...
Login.Input.NuevaClave,nueva clave...,nouvelle clé...,new key...
Login.Input.RepetirNuevaClave,repetir nueva clave...,Répétez la nouvelle touche...,Repeat new key...
Login.Panel.Settings.CambiarClave.Title,Cambiar de clave,Changer le mot de passe,Change password
,,,
Login.Panel.Settings.Menu.Clave,Cambiar de clave,Changer le mot de passe,Change password
,,,
Login.Panel.Settings.Menu.Tutorial.Title,Tutorial de la aplicación:,Tutoriel d'application :,Application tutorial:
Login.Panel.Settings.ClaveCambiada,Clave cambiada correctamente.,Clé modifiée avec succès.,Key changed successfully.
Login.Panel.Settings.Menu.Idioma.Title,Selecciona el idioma,Sélectionnez la langue,Select the language
Login.Panel.Settings.Menu.Desactivar.Title,Dar de baja al usuario,Désactiver l'utilisateur,Deactivate user
Login.Panel.Settings.Menu.Desactivar.Description,"Esta acción dará de baja la cuenta del usuario. Una vez de baja, no se podrá volver a acceder con esa cuenta, no se recopilarán más datos asociados y nadie más podrá utilizarla. Para volver a dar de alta, es necesario contactar con: arpoolfluidra@gmail.com. Escribe el correo asociado a la cuenta para dar de baja a esta.","Cette action désactivera le compte de l'utilisateur. Une fois désactivé, le compte sera inaccessible, aucune donnée associée ne sera collectée et personne d'autre ne pourra l'utiliser. Pour réactiver le compte, veuillez contacter arpoolfluidra@gmail.com en indiquant l'adresse e-mail associée au compte à désactiver.","This action will deactivate the user's account. Once deactivated, the account will no longer be accessible, no further associated data will be collected, and no one else will be able to use it. To reactivate the account, please contact arpoolfluidra@gmail.com. Write the email address associated with the account to deactivate it."
Login.Panel.Settings.Menu.Desactivar.Button,DAR DE BAJA EL USUARIO,SUPPRIMER L'UTILISATEUR,DELETE USER
Login.Panel.Settings.Menu.Desactivar.correoIncorrecto,Este correo no esta asociado a ningun usuario,Ce courriel n'est associé à aucun utilisateur.,This email is not associated with any user
Login.Panel.Settings.Menu.Desactivar.usuarioYaDesactivado,Este usuario ya esta de baja,Ce compte utilisateur a déjà été désactivé.,This user has already been deactivated.
Login.Panel.Settings.Menu.Desactivar.usuarioDesactivado,Se ha dado de baja al usuario,L'utilisateur a été désactivé.,The user has been deactivated
Login.Panel.Settings.Menu.MobileMode:Title,Que dispositivo estás usando: ,Quel appareil utilisez-vous ?,What device are you using?
Login.Panel.Settings.Menu.MobileMode:Description,**Marca el dispositivo (movil o tablet) que estes usando para mejorar la interficie de la aplicación,**Veuillez sélectionner l'appareil (mobile ou tablette) que vous utilisez afin d'améliorer l'interface de l'application,**Please select the device (mobile or tablet) you are using to improve the app interface
Login.Panel.Settings.Menu.MobileMode.OptionA,Tablet,Comprimé,Tablet
Login.Panel.Settings.Menu.MobileMode.OptionB,Dispositivo móvil,appareil mobile,Mobile device
,,,
,,,
,,,
DebugText.LoginIntoApplication.InvalidCredentials,La contraseña no es correcta o el usuario no existe en nuestra base de datos.,Le mot de passe est incorrect ou l'utilisateur n'existe pas dans notre base de données.,The password is incorrect or the user does not exist in our database.
Advertencia.Texto,"¡ATENCIÓN! Dado que la aplicación genera imágenes de realidad aumentada a
través del dispositivo en el que la Aplicación se encuentre operativa, algunos
elementos del entorno pueden quedar ocultos por las imágenes de realidad
aumentada. En consecuencia, el Usuario debe evitar en todo momento desplazarse
por el lugar en el que se estén generando las imágenes de realidad aumentada
sirviéndose de la Aplicación como guía y debe mantener el grado de atención
necesario para moverse e interactuar de forma segura y sin peligro con el entorno.
ARPOOL SL no asume responsabilidad alguna por los daños y perjuicios que
puedan generarse como consecuencia de un uso que prescinda de las anteriores
instrucciones.
","ATTENTION ! L’application génère des images de réalité augmentée via l’appareil sur lequel elle est exécutée. De ce fait, certains éléments de l’environnement peuvent être masqués par ces images. Par conséquent, l’utilisateur doit éviter de se déplacer dans la zone de génération des images de réalité augmentée en utilisant l’application comme guide et doit rester vigilant afin de se déplacer et d’interagir avec l’environnement en toute sécurité. ARPOOL SL décline toute responsabilité en cas de dommages résultant d’une utilisation non conforme aux instructions ci-dessus.","ATTENTION! Since the application generates augmented reality images through the device on which it is running, some elements of the environment may be obscured by the augmented reality images. Therefore, the User must avoid moving around the area where the augmented reality images are being generated using the application as a guide and must maintain the necessary level of attention to move and interact safely and without danger with the environment. ARPOOL SL assumes no responsibility for any damages that may arise as a result of use that disregards the above instructions."
Main.ARPlaneWindow.GuidanceText,Enfoca al suelo hasta que aparezca una marca.,Fixez le sol jusqu'à ce qu'une marque apparaisse.,Focus on the ground until a mark appears.
Main.ARPlaneWindow.HelpPanel.Text,"Si estas teniendo dificultades para visualizar la marca en el suelo, sigue estos pasos:

-Situate en una zona con condiciones lumínicas estables y no sean extremas.

-Evita los lugares con muchas sombras.

- Enfocar superficies con detalles y que no  totalmente lisas.","Si vous avez du mal à voir la marque au sol, suivez ces étapes :

- Placez-vous dans un endroit bien éclairé, sans excès de lumière.

- Évitez les zones très ombragées.

- Concentrez-vous sur les surfaces présentant des détails, et non sur les surfaces parfaitement lisses.","If you're having trouble seeing the mark on the floor, follow these steps:

- Position yourself in an area with stable, non-extreme lighting conditions.

- Avoid areas with many shadows.

- Focus on surfaces with details, not completely smooth ones."
Main.VoletTypeWindow.GuidanceText,Seleccione el tipo de persiana a instalar.,"
Sélectionnez le type de volet à installer.",Select the type of blind to install.
Main.VoletTypeWindow.HelpPanel.SubmergedText,"La persiana sumergida es la solución perfecta para propietarios de piscinas residenciales que necesitan un sistema de seguridad discreto que retenga el calor acumulado en el agua de la piscina.
 
La plataforma se enrolla completamente dentro de un compartimento submarino que está cubierto por una placa de conducto sumergida. Esta persiana es compatible con piscinas en reforma o construcción.","La couverture de piscine immergée est la solution idéale pour les propriétaires de piscines résidentielles qui recherchent un système de sécurité discret préservant la chaleur de l'eau.

La plateforme s'enroule entièrement dans un compartiment sous-marin recouvert d'une plaque de conduit immergée. Cette couverture convient aux piscines en rénovation ou en construction.","The submerged pool cover is the perfect solution for residential pool owners who need a discreet safety system that retains the heat accumulated in the pool water.

The platform rolls up completely inside an underwater compartment covered by a submerged conduit plate. This cover is suitable for pools under renovation or construction."
